Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,21:01:08.198,0,0,0,0,-0,217.05,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:09.199,0,0,0,0,-0,215.924,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:10.198,0,0,0,0,-0,214.775,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:11.198,0,0,0,0,-0,213.997,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:13.198,0,0,0,0,-0,212.757,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:14.199,0,0,0,0,-0,212.245,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:15.198,0,0,0,0,-0,211.726,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:16.399,0,0,0,0,-0,211.451,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:17.198,0,0,0,0,-0,211.154,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:18.197,9,0,0,0,-0,210.797,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:19.198,9,0,0,0,-0,210.198,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:20.198,9,0,0,0,-0,210.625,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:21.399,9,0,0,0,-0,209.899,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:23.399,9,0,0,0,-0,209.742,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:24.198,9,0,0,0,-0,209.587,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:25.399,9,0,0,0,-0,209.235,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:26.399,9,0,0,0,-0,208.728,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:27.399,9,0,0,0,-0,208.16,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:28.399,9,0,0,0,-0,207.77,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:29.398,9,0,0,0,-0,207.304,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:30.399,9,0,0,0,-0,206.768,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:31.398,9,0,0,0,-0,205.733,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:33.399,9,0,0,0,-0,204.457,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:34.398,10,0,0,0,-0,203.515,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:35.399,10,0,0,0,-0,201.603,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:36.398,10,0,0,0,-0,197.418,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:37.399,10,0,0,0,-0,192.62,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:38.398,10,0,0,0,-0,186.181,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:39.399,10,0,0,0,-0,177.243,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:40.399,9,1,30.3525,-89.6307,4.35101,166.723,149.976,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:41.398,10,1,30.3525,-89.6307,4.4302,154.023,134.484,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:43.398,10,0.9,30.3525,-89.6307,4.91136,128.488,109.683,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:44.399,11,0.9,30.3525,-89.6306,5.27555,116.76,94.3955,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:45.399,11,0.9,30.3525,-89.6306,5.56448,107.279,87.1166,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:46.399,11,0.9,30.3525,-89.6306,5.54064,97.856,74.5985,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:47.598,11,0.9,30.3525,-89.6305,5.10818,89.832,67.6803,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:48.398,11,0.8,30.3525,-89.6305,4.81369,84.039,57.433,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:49.399,11,0.8,30.3525,-89.6305,4.8447,80.878,52.1875,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:50.398,11,0.8,30.3525,-89.6305,5.25841,80.667,52.4947,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:51.598,11,0.8,30.3525,-89.6305,5.24505,82.21,52.6502,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:53.598,11,0.8,30.3525,-89.6304,4.05886,88.984,55.1226,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:54.598,11,0.8,30.3526,-89.6304,4.29843,91.124,59.1784,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:55.599,11,0.8,30.3526,-89.6304,4.52136,92.159,65.4072,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:56.598,11,0.8,30.3526,-89.6303,4.23894,91.42,58.482,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:57.598,11,0.8,30.3526,-89.6303,3.92173,91.015,58.2716,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:58.598,11,0.8,30.3526,-89.6303,3.75048,90.159,58.1552,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:59.598,11,0.8,30.3526,-89.6303,3.70631,89.506,54.4344,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:00.598,11,0.8,30.3526,-89.6303,3.47296,89.127,54.0858,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:01.598,11,0.8,30.3526,-89.6303,3.20143,88.683,56.7924,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:03.598,11,0.8,30.3526,-89.6302,2.15141,88.355,49.2134,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:04.599,11,0.8,30.3526,-89.6302,0.976361,88.297,56.5314,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:05.598,11,0.8,30.3526,-89.6302,0.361057,88.373,20.4838,0,0,0,0,0,0,0,0,0,0,0,0
